symbol,entry_date,exit_date,pnl,pnl_pct,reason,motor,days_held
TQQQ,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,1.1870525245248587,0.05987510713848415,rebalance,regime_hold_cash,7
TSLA,2026-05-27 00:00:00+00:00,2026-06-03 00:00:00+00:00,-0.7500509517285501,-0.03783268235080399,rebalance,regime_hold_cash,7
AMD,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-3.4793277657110444,-0.1661136916611368,rebalance,regime_hold_cash,7
BB,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-2.798214761083493,-0.13359528487229852,rebalance,regime_hold_cash,7
F,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-1.8798917436271516,-0.08975175047740293,rebalance,regime_hold_cash,7
NOK,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-4.169060575923574,-0.1990436341900778,rebalance,regime_hold_cash,7
PLTR,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-1.7660764506871054,-0.08431786216596324,rebalance,regime_hold_cash,7
SOFI,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-1.0171356713280382,-0.04856115107913668,rebalance,regime_hold_cash,7
TQQQ,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-4.1837686216529555,-0.19974584103512022,rebalance,regime_hold_cash,7
TSLA,2026-06-03 00:00:00+00:00,2026-06-10 00:00:00+00:00,-2.0816930405432537,-0.09938635827236249,rebalance,regime_hold_cash,7
AMD,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
BB,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
F,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
NOK,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
PLTR,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
SOFI,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TQQQ,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TSLA,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
AMD,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.25887074155636114,0.014166406493912013,rebalance,regime_hold_cash,7
